frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_002826.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2826,88163,7.57,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002829.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2829,88263,8.21,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002832.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2832,88343,3.51,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002835.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2835,88423,5.23,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002838.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2838,88523,6.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002841.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2841,88603,7.31,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002844.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2844,88703,7.55,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002847.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2847,88803,7.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002850.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2850,88883,7.57,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002853.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2853,89003,6.45,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002856.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2856,89083,6.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002859.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2859,89203,7.77,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002862.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2862,89303,8.04,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002865.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2865,89383,3.65,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002868.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2868,89463,6.16,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002871.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2871,89583,8.2,True
